Mr,DAug,DAgr,DAri,DAiz,DBug,DBgr,DBri,DBiz,DCug,DCgr,DCri,DCiz
12.21999999999992,0.4036111236541431,-0.11635053970314013,-0.14146441002323515,-0.16935873683356834,0.07264207500809265,-0.16647668798904355,-0.15358252995873573,-0.07486700126371458,0.0356633083696742,-0.19624386179232114,-0.1883755581227786,-0.23990133080338624
12.23999999999992,0.4066399764466237,-0.11197501851103657,-0.13862909464985174,-0.16702109308282687,0.076372710640134,-0.1630806117691764,-0.1513292292318298,-0.07072654036781172,0.04159315165766315,-0.1915890360919003,-0.1864496179785629,-0.23753720797742817
12.25999999999992,0.40963884337425077,-0.10758659124945605,-0.13577999593312867,-0.164687584048936,0.08010334627217536,-0.15968453554930928,-0.14907592850492385,-0.06658607947190885,0.0475229949456521,-0.18693421039147948,-0.18451150124923876,-0.23517308515147006
12.27999999999992,0.41260839076243666,-0.10318514303667159,-0.1329169108817758,-0.16235818786930917,0.08383398190421672,-0.15628845932944213,-0.14682262777801788,-0.06244561857600599,0.053452838233641047,-0.18227938469105864,-0.1825609740160845,-0.23280896232551196
12.299999999999919,0.41554926301243506,-0.09877055727643264,-0.13003963147251746,-0.16003288287334994,0.08756461753625806,-0.15289238310957498,-0.14456932705111195,-0.05830515768010312,0.059382681521629996,-0.1776245589906378,-0.1805977947735495,-0.23044483949955386
12.319999999999919,0.41846208352547165,-0.09434271562192643,-0.12714794447370723,-0.15771164758009945,0.09129525316829942,-0.14949630688970786,-0.14231602632420598,-0.05416469678420026,0.06531252480961895,-0.17296973329021698,-0.17862171408022331,-0.22808071667359575
12.339999999999918,0.4213474555808575,-0.08990149793875979,-0.12424163126091246,-0.1553944606959217,0.09502588880034077,-0.1461002306698407,-0.14006272559730004,-0.050024235888297394,0.0712423680976079,-0.16831490758979614,-0.17663247418888417,-0.22571659384763768
12.359999999999918,0.4242059631706232,-0.0854467822669282,-0.12132046762401799,-0.15308130111222412,0.09875652443238213,-0.14270415444997356,-0.1378094248703941,-0.04588377499239453,0.07717221138559685,-0.1636600818893753,-0.1746298086540736,-0.22335247102167957
12.379999999999917,0.42703817179307946,-0.08097844478173824,-0.11838422356536676,-0.1507721479032144,0.10248716006442347,-0.13930807823010644,-0.13555612414348814,-0.041743314096491665,0.08310205467358579,-0.15900525618895447,-0.1726134419155067,-0.22098834819572147
12.399999999999917,0.4298446292075625,-0.07649635975364796,-0.11543266308842325,-0.1484669803236917,0.10621779569646483,-0.13591200201023929,-0.1333028234165822,-0.037602853200588794,0.08903189796157475,-0.15435043048853364,-0.17058308885547238,-0.21862422536976336
